                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7475,                  7.014,                  4.045,                      0,                      0,                      0,                      0,                 5.0364,                 5.0866,                 3.7546,               0.070417,               0.003287,               0.003287
                      2,                 3.9777,                 4.7674,                 3.2387,                0.00147,                0.12936,                0.00118,                0.00031,                 4.1765,                 4.8943,                 3.3189,               0.040395,              0.0065985,              0.0065985
                      3,                 3.6197,                 4.4032,                 2.8873,                0.00175,                0.09893,                 0.0013,                0.00038,                 3.8134,                    inf,                 4.7177,               0.010351,               0.009888,               0.009888
                      4,                 3.5159,                 4.1736,                  2.702,                 0.0039,                0.19813,                0.00304,                0.00074,                 3.5795,                    inf,                 4.1872,               0.009901,               0.009901,               0.009901
                      5,                 3.3246,                 3.8627,                 2.4815,                0.40379,                0.01493,                0.00174,                0.00039,                 3.3038,                 4.6795,                 2.6781,               0.009901,               0.009901,               0.009901
                      6,                  3.194,                 3.5817,                  2.395,                0.61274,                  0.024,                0.00605,                0.00118,                 4.1933,                 4.5503,                 3.3266,               0.009868,               0.009868,               0.009868
                      7,                 3.0903,                 3.3862,                 2.3405,                0.01094,                0.32808,                0.00992,                0.00297,                 3.1218,                 4.7857,                 2.5846,               0.009835,               0.009835,               0.009835
                      8,                 2.9841,                 3.1926,                 2.2777,                0.57399,                0.03978,                0.06105,                0.02153,                 3.2467,                 3.3821,                 2.5861,               0.009802,               0.009802,               0.009802
                      9,                 2.9061,                 3.0145,                 2.1984,                0.51029,                0.11139,                0.04811,                0.01442,                 3.3019,                 4.2095,                 2.6932,               0.009769,               0.009769,               0.009769
                     10,                 2.7766,                  2.798,                 2.1653,                0.38537,                0.16245,                0.08769,                0.02833,                 2.9302,                 3.0432,                 2.3798,               0.009736,               0.009736,               0.009736
                     11,                 2.7287,                 2.6604,                 2.1121,                0.19251,                0.25638,                0.12948,                0.03599,                 2.9975,                 3.0891,                 2.4316,               0.009703,               0.009703,               0.009703
                     12,                 2.6781,                 2.5654,                 2.0721,                0.24565,                0.29919,                0.20192,                0.06848,                 2.5899,                 2.4977,                 2.1072,                0.00967,                0.00967,                0.00967
                     13,                 2.6331,                 2.4309,                 2.0107,                0.26397,                0.32823,                0.27588,                0.09933,                 2.5295,                 2.3071,                 2.0685,               0.009637,               0.009637,               0.009637
                     14,                 2.5585,                 2.3747,                  1.984,                0.32467,                0.39272,                0.32131,                0.12769,                 2.4704,                 2.2242,                  2.022,               0.009604,               0.009604,               0.009604
                     15,                 2.5644,                   2.31,                 1.9482,                0.66724,                0.34009,                0.30954,                0.11563,                 2.4824,                 2.7995,                 2.0437,               0.009571,               0.009571,               0.009571
                     16,                 2.4583,                 2.2473,                 1.8977,                0.35696,                0.38236,                 0.3316,                0.12925,                 2.4522,                 2.1722,                 2.0575,               0.009538,               0.009538,               0.009538
                     17,                 2.4823,                 2.1719,                 1.9338,                0.55687,                0.32908,                0.30808,                0.12073,                 2.6208,                 2.1505,                 2.0889,               0.009505,               0.009505,               0.009505
                     18,                 2.4322,                 2.1276,                 1.9146,                0.45056,                0.38989,                0.35302,                 0.1302,                 2.4216,                 2.2889,                 1.9579,               0.009472,               0.009472,               0.009472
                     19,                 2.4204,                 2.1159,                 1.8859,                0.44128,                0.33245,                 0.3854,                0.16501,                 2.4133,                 2.2643,                 1.9754,               0.009439,               0.009439,               0.009439
                     20,                 2.3433,                 2.0251,                 1.8453,                0.49514,                0.45492,                0.43389,                0.18783,                 2.2641,                 1.8581,                 1.8843,               0.009406,               0.009406,               0.009406
                     21,                 2.3341,                 1.9661,                 1.8215,                0.44569,                0.49073,                0.43386,                0.15882,                 2.2286,                 2.0705,                  1.915,               0.009373,               0.009373,               0.009373
                     22,                 2.3319,                  1.926,                 1.8334,                0.54814,                0.49406,                 0.4924,                  0.186,                 2.2255,                 1.7995,                 1.8485,                0.00934,                0.00934,                0.00934
                     23,                 2.2582,                 1.8282,                 1.7671,                0.52273,                0.47772,                0.49064,                0.19689,                 2.3459,                  2.342,                 1.9186,               0.009307,               0.009307,               0.009307
                     24,                  2.247,                 1.8759,                 1.7803,                0.45823,                0.51343,                0.50088,                0.20273,                 2.3344,                 2.0334,                 1.8986,               0.009274,               0.009274,               0.009274
                     25,                  2.199,                  1.779,                 1.7289,                0.61387,                0.51377,                0.54521,                0.22828,                 2.2195,                 1.7457,                  1.844,               0.009241,               0.009241,               0.009241
                     26,                 2.2598,                 1.8158,                 1.7772,                0.63487,                0.51731,                0.53175,                 0.2254,                 2.3836,                 2.0787,                 1.9417,               0.009208,               0.009208,               0.009208
                     27,                 2.1857,                 1.7218,                 1.7108,                0.67887,                 0.4745,                0.54466,                0.23209,                 2.3075,                 1.7968,                 1.8799,               0.009175,               0.009175,               0.009175
                     28,                 2.1978,                 1.7386,                 1.7137,                0.53093,                0.46815,                0.48557,                0.19935,                 2.2668,                 1.6542,                 1.8596,               0.009142,               0.009142,               0.009142
                     29,                 2.1578,                  1.717,                 1.7273,                0.58095,                0.53156,                0.53927,                0.22984,                 2.2502,                 1.8696,                 1.8585,               0.009109,               0.009109,               0.009109
                     30,                 2.1541,                 1.6784,                 1.7029,                0.62854,                0.52599,                0.56975,                0.23946,                 2.1912,                 1.8991,                 1.8899,               0.009076,               0.009076,               0.009076
                     31,                 2.1412,                 1.6538,                 1.6978,                0.63351,                0.47345,                0.51988,                0.21183,                 2.2589,                  1.823,                 1.8857,               0.009043,               0.009043,               0.009043
                     32,                 2.0811,                 1.6143,                 1.6519,                 0.6713,                0.51085,                0.57408,                0.23401,                 2.1856,                 1.5899,                 1.8183,                0.00901,                0.00901,                0.00901
                     33,                 2.1452,                 1.6534,                 1.6802,                0.72282,                0.53118,                0.60853,                0.27427,                 2.2067,                 1.5923,                 1.8132,               0.008977,               0.008977,               0.008977
                     34,                 2.0989,                 1.6068,                 1.6581,                0.65499,                0.52868,                0.57368,                0.24252,                 2.3035,                 1.6414,                 1.8598,               0.008944,               0.008944,               0.008944
                     35,                 2.0959,                 1.5868,                 1.6492,                0.70127,                0.58478,                0.61855,                 0.2407,                 2.2114,                 1.6188,                 1.8181,               0.008911,               0.008911,               0.008911
                     36,                 2.0634,                 1.5865,                 1.6532,                0.65616,                0.58828,                0.60612,                 0.2628,                 2.1502,                 1.5939,                 1.7971,               0.008878,               0.008878,               0.008878
                     37,                 2.0729,                 1.5318,                 1.6216,                0.68148,                0.62411,                0.65502,                0.28739,                 2.0877,                 1.5364,                 1.7265,               0.008845,               0.008845,               0.008845
                     38,                 2.0493,                 1.5427,                 1.6169,                0.69602,                0.58487,                0.63364,                0.27679,                  2.092,                 1.6698,                 1.7192,               0.008812,               0.008812,               0.008812
                     39,                 2.0406,                 1.4826,                 1.5976,                0.73021,                0.60481,                0.63419,                0.26402,                 2.1955,                 1.4704,                 1.7899,               0.008779,               0.008779,               0.008779
                     40,                 2.0618,                 1.4929,                 1.6397,                0.66546,                0.61414,                0.62371,                0.27335,                 2.1404,                 1.6913,                  1.763,               0.008746,               0.008746,               0.008746
                     41,                 2.0057,                 1.4745,                 1.6021,                0.73388,                0.59821,                0.66037,                0.30013,                 2.1098,                 1.4057,                 1.7457,               0.008713,               0.008713,               0.008713
                     42,                 2.0164,                 1.4474,                 1.5923,                0.71646,                0.63276,                0.68158,                0.30001,                 2.0925,                 1.4591,                 1.7439,                0.00868,                0.00868,                0.00868
                     43,                 1.9779,                 1.4384,                 1.5775,                 0.6537,                0.63985,                0.64116,                0.29097,                 2.0467,                 1.4067,                  1.703,               0.008647,               0.008647,               0.008647
                     44,                 2.0091,                 1.4246,                 1.5792,                0.73041,                0.64888,                0.67113,                0.29998,                  2.196,                 1.4065,                 1.8127,               0.008614,               0.008614,               0.008614
                     45,                 1.9759,                 1.4227,                 1.5848,                0.73285,                0.62316,                 0.6637,                0.28693,                 2.0553,                 1.4215,                   1.71,               0.008581,               0.008581,               0.008581
                     46,                  1.959,                 1.3923,                 1.5467,                0.77589,                0.61436,                0.68119,                0.28881,                 2.1219,                 1.4376,                 1.7413,               0.008548,               0.008548,               0.008548
                     47,                 1.9611,                 1.3916,                  1.568,                0.76112,                0.59895,                 0.6627,                0.27837,                 2.1117,                 1.4456,                 1.7222,               0.008515,               0.008515,               0.008515
                     48,                 1.9297,                 1.3731,                  1.543,                0.80478,                0.63609,                0.70232,                 0.3136,                 2.1662,                 1.4833,                 1.7563,               0.008482,               0.008482,               0.008482
                     49,                 1.9039,                 1.3096,                 1.5215,                0.80648,                0.63474,                0.71325,                0.31232,                 2.0268,                 1.3557,                 1.6789,               0.008449,               0.008449,               0.008449
                     50,                 1.9498,                 1.3826,                 1.5677,                0.78528,                0.62937,                 0.6885,                0.30354,                 2.1686,                 1.4755,                 1.7704,               0.008416,               0.008416,               0.008416
                     51,                 1.8933,                  1.289,                 1.5439,                0.71137,                0.66332,                0.70522,                0.31156,                 1.9915,                  1.364,                 1.6702,               0.008383,               0.008383,               0.008383
                     52,                 1.9387,                 1.3592,                 1.5528,                0.80742,                0.63194,                0.69603,                0.32787,                 2.0143,                 1.4255,                 1.6597,                0.00835,                0.00835,                0.00835
                     53,                 1.9215,                 1.3362,                 1.5378,                0.83485,                0.63947,                0.72197,                0.31794,                 2.0392,                 1.2968,                 1.7185,               0.008317,               0.008317,               0.008317
