                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.837,                  7.777,                 4.2102,                      0,                      0,                      0,                      0,                 5.1834,                 5.0655,                 3.9386,               0.070417,               0.003287,               0.003287
                      2,                  4.088,                 5.2868,                 3.5881,                0.00138,                0.13466,                0.00266,                0.00082,                 4.0652,                 11.397,                 3.4771,               0.040395,              0.0065985,              0.0065985
                      3,                 3.7295,                  4.589,                 2.9914,                0.40007,                0.05439,                  9e-05,                  2e-05,                 4.3559,                    inf,                 7.7425,               0.010351,               0.009888,               0.009888
                      4,                 3.4839,                 4.2417,                 2.7355,                0.09284,                0.04766,                0.02826,                0.01103,                 3.4124,                 9.2853,                 2.8796,               0.009901,               0.009901,               0.009901
                      5,                 3.3256,                 3.8716,                 2.5406,                0.81959,                0.02687,                0.01172,                0.00258,                 3.4461,                 5.5553,                 2.7868,               0.009901,               0.009901,               0.009901
                      6,                 3.1479,                 3.5787,                 2.3857,                0.81658,                0.04179,                0.01805,                0.00589,                 2.9929,                 6.0381,                 2.3894,               0.009868,               0.009868,               0.009868
                      7,                 2.9983,                 3.2681,                 2.3149,                0.63226,                0.03284,                0.02341,                0.00667,                 3.1585,                 3.8912,                 2.5347,               0.009835,               0.009835,               0.009835
                      8,                 2.8892,                 3.0177,                 2.2362,                 0.3653,                0.17361,                0.08067,                 0.0236,                 2.9596,                 3.0915,                 2.3804,               0.009802,               0.009802,               0.009802
                      9,                  2.822,                 2.8628,                  2.173,                0.35811,                0.21705,                0.12062,                0.04607,                 2.8587,                 3.9622,                 2.3662,               0.009769,               0.009769,               0.009769
                     10,                 2.6798,                 2.6763,                 2.1381,                0.44753,                0.05299,                0.02906,                0.00791,                 3.4771,                 37.586,                 2.9391,               0.009736,               0.009736,               0.009736
                     11,                  2.646,                 2.5428,                 2.0748,                 0.3858,                0.25153,                0.20657,                0.07294,                 2.5671,                 2.6198,                 2.1247,               0.009703,               0.009703,               0.009703
                     12,                 2.5922,                 2.4604,                 2.0347,                0.26768,                0.32425,                0.22734,                0.07498,                 2.6049,                 2.7896,                 2.1742,                0.00967,                0.00967,                0.00967
                     13,                  2.545,                 2.3538,                 1.9745,                0.36918,                0.30345,                0.28619,                0.08855,                 2.6002,                 2.4819,                 2.1745,               0.009637,               0.009637,               0.009637
                     14,                 2.4879,                 2.2805,                 1.9564,                0.36663,                 0.4405,                0.38624,                0.13685,                 2.4573,                 2.1034,                 2.0115,               0.009604,               0.009604,               0.009604
                     15,                 2.4449,                 2.1803,                 1.9049,                0.36006,                0.42084,                0.35382,                 0.1286,                 2.4178,                 1.9978,                 2.0088,               0.009571,               0.009571,               0.009571
                     16,                  2.353,                 2.0882,                 1.8566,                0.58061,                0.36467,                0.38084,                0.13271,                 2.6111,                 2.4603,                 2.1222,               0.009538,               0.009538,               0.009538
                     17,                 2.3727,                 2.0564,                 1.8948,                0.47542,                0.35441,                0.38893,                0.16649,                 2.4495,                 2.2438,                 2.0354,               0.009505,               0.009505,               0.009505
                     18,                 2.3687,                 2.0504,                 1.9097,                0.48824,                0.47358,                0.42508,                0.16185,                    2.4,                 2.0031,                 1.9815,               0.009472,               0.009472,               0.009472
                     19,                 2.3377,                 2.0213,                 1.8661,                0.47667,                0.47415,                0.48032,                0.19094,                 2.3312,                 2.0589,                 1.9387,               0.009439,               0.009439,               0.009439
                     20,                 2.2529,                 1.9166,                  1.813,                 0.5856,                0.48992,                0.49792,                 0.1981,                 2.3814,                 1.8681,                 1.9891,               0.009406,               0.009406,               0.009406
                     21,                 2.2474,                 1.8655,                 1.8051,                0.58196,                0.46866,                0.50723,                0.18835,                 2.3794,                  1.932,                 1.9466,               0.009373,               0.009373,               0.009373
