                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6605,                 6.7185,                 4.0028,                      0,                      0,                      0,                      0,                  5.037,                 5.1452,                 3.7556,               0.070417,               0.003287,               0.003287
                      2,                 3.9895,                 4.8977,                 3.3318,                0.00354,                0.04113,                0.00203,                0.00062,                 4.3155,                  4.846,                 3.4544,               0.040395,              0.0065985,              0.0065985
                      3,                 3.6618,                 4.3952,                 2.8896,                0.80263,                0.01493,                0.00409,                0.00071,                 3.3208,                 49.901,                 2.9208,               0.010351,               0.009888,               0.009888
                      4,                 3.5098,                 4.0959,                 2.7074,                0.44211,                0.02581,                0.01428,                0.00308,                 3.4616,                    inf,                 3.6824,               0.009901,               0.009901,               0.009901
                      5,                 3.3664,                 3.7895,                 2.4967,                 0.6266,                0.03318,                0.03144,                0.00896,                   3.25,                 3.9144,                  2.649,               0.009901,               0.009901,               0.009901
                      6,                 3.1877,                 3.4698,                  2.378,                0.22458,                0.04478,                0.01372,                0.00372,                 3.4424,                 4.8087,                 2.7778,               0.009868,               0.009868,               0.009868
                      7,                 3.0519,                 3.1976,                 2.3243,                0.46369,                0.11881,                0.02297,                0.00671,                 3.2492,                 4.6206,                 2.7115,               0.009835,               0.009835,               0.009835
                      8,                 3.0204,                 3.1331,                 2.2937,                0.15452,                0.11496,                0.07009,                0.02029,                 3.0036,                 2.9679,                 2.4172,               0.009802,               0.009802,               0.009802
                      9,                 2.9386,                 2.9302,                 2.2153,                0.26711,                0.17633,                0.13104,                0.04597,                 2.9337,                  3.036,                 2.4196,               0.009769,               0.009769,               0.009769
                     10,                 2.8547,                 2.7798,                 2.1988,                 0.3019,                0.12417,                0.07964,                0.02904,                 2.8243,                 2.8701,                 2.2661,               0.009736,               0.009736,               0.009736
