                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1757,                 9.6373,                 5.2943,                      0,                      0,                      0,                      0,                 5.1711,                 5.0648,                 3.9181,               0.070417,               0.003287,               0.003287
                      2,                 5.3367,                 6.7803,                 4.5625,                0.20805,                0.00944,                0.00208,                0.00053,                 3.7659,                 5.5675,                 3.4239,               0.040395,              0.0065985,              0.0065985
                      3,                 4.7002,                 5.8919,                 3.7735,                0.00158,                0.18805,                 0.0065,                0.00144,                 3.5804,                 4.5269,                 2.9363,               0.010351,               0.009888,               0.009888
                      4,                 4.4379,                 5.4877,                 3.4802,                0.00374,                0.14149,                0.00956,                0.00315,                 3.4844,                 34.594,                 3.3776,               0.009901,               0.009901,               0.009901
                      5,                 4.2186,                 5.0225,                 3.2225,                0.80784,                 0.0209,                0.00446,                0.00118,                  3.297,                 4.2912,                 2.7238,               0.009901,               0.009901,               0.009901
                      6,                 4.0109,                 4.6379,                 3.0609,                0.31531,                0.02484,                0.03183,                0.01212,                 3.2826,                 10.875,                 2.7219,               0.009868,               0.009868,               0.009868
                      7,                 3.8077,                 4.2561,                 2.9502,                0.46675,                0.08392,                0.04535,                0.01369,                 2.8925,                   3.81,                 2.3161,               0.009835,               0.009835,               0.009835
                      8,                   3.73,                 4.0071,                 2.8662,                0.29255,                0.10161,                0.05373,                0.01651,                 3.0603,                 3.0413,                 2.5118,               0.009802,               0.009802,               0.009802
                      9,                  3.561,                 3.7185,                 2.7395,                0.43405,                0.17665,                0.16283,                0.05865,                 2.7915,                 2.9207,                 2.2662,               0.009769,               0.009769,               0.009769
                     10,                  3.453,                 3.5078,                 2.7282,                 0.3904,                0.25101,                0.20181,                0.06848,                 2.6248,                 2.9154,                 2.1343,               0.009736,               0.009736,               0.009736
                     11,                 3.3182,                  3.287,                 2.6159,                  0.252,                0.25414,                0.19729,                0.06101,                 2.7737,                 2.7501,                 2.2321,               0.009703,               0.009703,               0.009703
                     12,                 3.2681,                  3.184,                 2.5584,                0.42463,                0.25836,                0.17759,                0.05856,                 2.6877,                 2.4049,                  2.234,                0.00967,                0.00967,                0.00967
                     13,                  3.191,                  2.994,                 2.4796,                0.38837,                0.30626,                0.31532,                0.12287,                 2.4358,                  2.186,                 1.9916,               0.009637,               0.009637,               0.009637
                     14,                 3.1222,                  2.903,                 2.4598,                0.46297,                0.41193,                 0.3939,                 0.1442,                 2.4671,                 2.1594,                 2.0274,               0.009604,               0.009604,               0.009604
                     15,                 3.1118,                 2.8195,                 2.4121,                0.44722,                0.40818,                0.38078,                0.15241,                 2.3525,                  1.981,                 1.9846,               0.009571,               0.009571,               0.009571
                     16,                 3.0065,                 2.6668,                 2.3477,                0.50411,                0.42169,                0.43018,                0.16601,                 2.3664,                 2.0431,                 2.0059,               0.009538,               0.009538,               0.009538
                     17,                 3.0181,                 2.6513,                 2.3739,                0.53897,                 0.4109,                  0.454,                0.18091,                 2.2639,                 1.9361,                 1.8879,               0.009505,               0.009505,               0.009505
                     18,                 2.9419,                 2.5818,                  2.365,                0.45439,                0.53447,                0.47663,                0.18823,                 2.2789,                 2.0678,                 1.9414,               0.009472,               0.009472,               0.009472
                     19,                 2.9105,                 2.4949,                 2.3127,                0.53948,                0.43334,                0.46657,                0.19779,                 2.2674,                 2.0091,                  1.907,               0.009439,               0.009439,               0.009439
                     20,                 2.7964,                 2.4171,                 2.2468,                0.52028,                0.49431,                0.48114,                 0.2006,                 2.2518,                 1.8869,                 1.8646,               0.009406,               0.009406,               0.009406
                     21,                 2.7909,                 2.3611,                 2.2327,                0.57227,                0.35061,                0.40169,                0.14678,                 2.3678,                 2.1879,                  1.955,               0.009373,               0.009373,               0.009373
                     22,                   2.78,                 2.3161,                 2.2318,                0.67436,                0.46825,                 0.5262,                0.21373,                 2.2017,                 1.8451,                 1.8439,                0.00934,                0.00934,                0.00934
                     23,                 2.7268,                 2.2072,                 2.1917,                 0.6731,                0.52409,                0.56536,                0.21878,                 2.2586,                 1.7557,                 1.8835,               0.009307,               0.009307,               0.009307
                     24,                 2.6877,                 2.2194,                 2.1753,                0.65304,                0.47201,                0.55058,                0.22282,                 2.2941,                 1.9242,                 1.8913,               0.009274,               0.009274,               0.009274
                     25,                 2.6544,                 2.1311,                 2.1303,                0.68733,                0.50968,                0.56403,                 0.2319,                 2.1846,                 1.6058,                 1.8219,               0.009241,               0.009241,               0.009241
                     26,                  2.725,                 2.1785,                  2.176,                0.57416,                0.53334,                0.55254,                0.22901,                 2.2811,                 1.7124,                 1.9095,               0.009208,               0.009208,               0.009208
                     27,                 2.6416,                 2.0633,                 2.1061,                0.67811,                0.53201,                0.58847,                0.25383,                 2.1369,                 1.6243,                 1.7822,               0.009175,               0.009175,               0.009175
                     28,                 2.6312,                 2.0627,                 2.0859,                0.71626,                0.54814,                0.59835,                0.25928,                 2.1271,                  1.606,                 1.7997,               0.009142,               0.009142,               0.009142
                     29,                 2.6278,                 2.0466,                 2.1437,                0.75453,                0.53804,                0.60863,                0.24358,                 2.2252,                   1.67,                 1.8599,               0.009109,               0.009109,               0.009109
                     30,                 2.6043,                  2.001,                 2.0889,                0.81634,                0.48314,                0.60428,                  0.239,                 2.1642,                 1.7372,                 1.7983,               0.009076,               0.009076,               0.009076
